<<<<<<< HEAD
0, Stood in the Chic-fila line
0, Ate at the Roadrunner Cafe
0, Ordered food off of Grubhub
0, Bought food from the Rowdy Mart
0, Drank coffee from Java City
0, Dined at Panda Express
0, Ate in the Sombrilla 
0, Drank a smoothie from Smoothie King
0, Tried Abu Omar Halal food truck
=======
0, Stood in the Chic-fila line
0, Ate at the Roadrunner Cafe
0, Ordered food off of Grubhub
0, Bought food from the Rowdy Mart
0, Drank coffee from Java City
0, Dined at Panda Express
0, Ate in the Sombrilla 
0, Drank a smoothie from Smoothie King
0, Tried Abu Omar Halal food truck
>>>>>>> 15312c2d50d55c11f89d629af8546c5e93fa43f7
0, Ate at Whataburger past 12 am 
